i,area,depth,trinode_1,trinode_2,trinode_3,lochRegion
"94725",5466.42041015625,7.10504293441772,"53116","53630","53631","7"
"94726",3619.861328125,5.68075799942017,"53118","53630","53117","7"
"94727",6548.4248046875,5.70908403396607,"53118","53633","53630","7"
"94728",8370.7626953125,4.97615480422974,"53118","53634","53633","7"
"94729",9830.701171875,4.85917091369629,"53118","53119","53634","7"
"94730",9846.09375,4.82055282592773,"53635","53634","53119","7"
"94731",9800.70703125,4.84421539306641,"53120","53635","53119","7"
"94732",9049.24755859375,4.97212648391724,"53120","53636","53635","7"
"94733",13903.8950195313,4.83725309371948,"53120","53121","53636","7"
"94734",13882.7578125,4.69129705429077,"53637","53636","53121","7"
"94735",13926.43359375,4.5372748374939,"53122","53637","53121","7"
"94736",14709.8823242188,4.7023549079895,"53122","53638","53637","7"
"94737",21091.060546875,6.76024293899536,"53122","53639","53638","7"
"94738",16657.314453125,14.9322481155396,"53122","53640","53639","7"
"94739",14714.08203125,16.7578659057617,"53122","53123","53640","7"
"94740",14761.6826171875,26.2052402496338,"53640","53123","53641","7"
"94741",14763.5288085938,23.3885917663574,"53124","53641","53123","7"
"94742",15448.0209960938,30.0530300140381,"53124","53125","53641","7"
"94743",15507.888671875,34.3366508483887,"53641","53125","53642","7"
"94744",15507.888671875,34.9280204772949,"53126","53642","53125","7"
"94745",17982.5,32.8938026428223,"53126","53643","53642","7"
"94746",18198.5078125,30.596399307251,"53126","53127","53643","7"
"94747",18157.23828125,27.5995693206787,"53127","53644","53643","7"
"94748",18211.66015625,26.0202312469482,"53128","53644","53127","7"
"94749",13802.34375,25.7295017242432,"53128","53645","53644","7"
"94750",16633.2568359375,25.7193927764893,"53128","53646","53645","7"
"94751",14591.49609375,25.4939956665039,"53128","53129","53646","7"
"94752",14639.876953125,23.8321723937988,"53647","53646","53129","7"
"94753",14639.876953125,20.3085594177246,"53130","53647","53129","7"
"94754",9774.78515625,15.7285480499268,"53130","53648","53647","7"
"94755",10875.3813476563,14.903115272522,"53130","53131","53648","7"
"94756",10876.193359375,13.3624467849731,"53648","53131","53649","7"
"94757",10877.1499023438,15.0589656829834,"53132","53649","53131","7"
"94758",10066.8515625,11.8267660140991,"53132","53650","53649","7"
